iso3c,short_name_en,regex
MRT,Mauritania,(茅利|毛里)塔尼亚
MSR,Montserrat,蒙特塞拉特|蒙哲腊
MTQ,Martinique,马(提|丁)尼克
MUS,Mauritius,(模|毛)里(西|求|裘)斯
MWI,Malawi,马拉(威|维)
MYS,Malaysia,马来西亚
MYT,Mayotte,马约特
"NAM",Namibia,纳米比亚
NCL,New Caledonia,新喀里多尼亚
NER,Niger,尼日(?!利亚)
NFK,Norfolk Island,诺福克岛
NGA,Nigeria,(奈及|尼日)利亚
NIC,Nicaragua,尼加拉瓜
NIU,Niue,纽(埃|威)
NLD,Netherlands,(荷兰|尼德兰)(?!加勒比)
NOR,Norway,挪威
NPL,Nepal,尼泊尔
NRU,Nauru,(诺|瑙)鲁
NZL,New Zealand,(新|纽)西兰
OMN,Oman,阿曼
PAK,Pakistan,巴基斯坦
PAN,Panama,巴拿马
PCN,Pitcairn Islands,皮特(凯恩|肯).*岛
PER,Peru,秘鲁
PHL,Philippines,菲律宾
PLW,Palau,帛琉|帕劳
PNG,Papua New Guinea,巴布亚(纽|新)(几|畿)内亚|巴(纽|新)
POL,Poland,波兰
PRI,Puerto Rico,波多黎各
PRK,North Korea,朝鲜|北韩
PRT,Portugal,葡萄牙|葡国
PRY,Paraguay,巴拉圭
PSE,Palestinian Territories,巴勒斯坦
PYF,French Polynesia,法属(波|玻)(利|里)尼西亚
QAT,Qatar,卡(达|塔)
REU,Réunion,留尼(汪|旺)
ROU,Romania,罗马尼亚
RUS,Russia,(?<!白)俄罗斯
RWA,Rwanda,卢(安达|旺达)
SAU,Saudi Arabia,沙(特|地|乌地)
SDN,Sudan,(?<!(阿曼|南))苏丹
SEN,Senegal,塞内加尔
SGP,Singapore,(新|星)加坡|狮城|星(国|洲)
SGS,South Georgia & South Sandwich Islands,南(乔|佐)治亚[和及与]?南(桑威奇|三文治)群岛
SHN,St. Helena,圣(赫勒拿|海伦娜)、(阿|亚)森(松|欣)[和及与]?(特里斯|崔斯)坦.?达库尼亚
SJM,Svalbard & Jan Mayen,斯瓦尔?巴和扬马延
SLB,Solomon Islands,(索|所)罗门群岛
SLE,Sierra Leone,塞拉利昂|狮子山
SLV,El Salvador,萨尔瓦多
SMR,San Marino,圣马(利|力)诺
SOM,Somalia,索马(利|里)(?!兰)
SPM,St. Pierre & Miquelon,圣皮埃尔?[和及与]?密克隆
SRB,Serbia,塞尔维亚
SSD,South Sudan,南苏丹
STP,São Tomé & Príncipe,圣多美[和及与]?普林西比|圣普
SUR,Suriname,苏(利|里)南
SVK,Slovakia,斯洛伐克
SVN,Slovenia,斯洛(维|文)尼亚
SWE,Sweden,瑞典
SWZ,Eswatini,史瓦帝尼|斯威士兰
SXM,Sint Maarten,荷属圣马丁
SYC,Seychelles,塞(席|舌)尔
SYR,Syria,叙利亚
TCA,Turks & Caicos Islands,(?<!皮)特凯|(特克斯|土克)[和及与]?凯(科斯|可)群岛
TCD,Chad,查德|乍得
TGO,Togo,多哥
THA,Thailand,泰王?国
TJK,Tajikistan,塔吉克
TKL,Tokelau,托克劳
TKM,Turkmenistan,土库曼
TLS,Timor-Leste,东帝汶
TON,Tonga,(东|汤)加
TTO,Trinidad & Tobago,(千里|特立尼)达|特多
TUN,Tunisia,突尼(西亚|斯)
TUR,Turkey,"(?<!北(赛|塞)(普|浦).{0,5})土耳其"
TUV,Tuvalu,(吐|图)瓦(鲁|卢)
TWN,Taiwan,台湾|中华民国
TZA,Tanzania,坦(尚|桑)尼亚
UGA,Uganda,乌干达
UKR,Ukraine,乌克兰
UMI,United States Minor Outlying Islands (the),美国本土外小岛屿
URY,Uruguay,乌拉圭
USA,United States,美国(?!本土外)|美利坚合众国
UZB,Uzbekistan,乌兹别克
VAT,Vatican City,梵(蒂|谛)冈
VCT,St. Vincent & Grenadines,圣文森
VEN,Venezuela,委内瑞拉
VGB,British Virgin Islands,英属(维尔?京|处女)群岛
VIR,U.S. Virgin Islands,美属(维尔?京|处女)群岛
VNM,Vietnam,越南
VUT,Vanuatu,万那杜|瓦努阿图
WLF,Wallis & Futuna,瓦利斯和富图(纳|那)
WSM,Samoa,(?<!(美属|东))萨摩亚
YEM,Yemen,(也|叶)门
ZAF,South Africa,南非
ZMB,Zambia,(尚|赞)比亚
ZWE,Zimbabwe,辛巴威|津巴布韦
